distancia	duracion	Selected	Cluster	Silhouette
2948.0	820.0	No	C1	
5930.0	1171.0	No	C2	
2683.0	799.0	No	C1	
2025.0	688.0	No	C1	
874.0	245.0	No	C1	
1717.0	519.0	No	C1	
3012.0	778.0	No	C1	
5574.0	1221.0	No	C2	
8146.0	1682.0	No	C2	
11762.0	1662.0	No	C2	
7075.0	1728.0	No	C2	
14.0	417.0	No	C1	
571.0	332.0	No	C1	
4277.0	1051.0	No	C1	
27514.0	3055.0	No	C2	
1612.0	436.0	No	C1	
10603.0	1831.0	No	C2	
6005.0	1073.0	No	C2	
692.0	311.0	No	C1	
6581.0	1498.0	No	C2	
1323.0	423.0	No	C1	
3252.0	843.0	No	C1	
1690.0	574.0	No	C1	
1905.0	721.0	No	C1	
2740.0	1070.0	No	C1	
6163.0	1295.0	No	C2	
1001.0	335.0	No	C1	
4303.0	1007.0	No	C1	
1519.0	388.0	No	C1	
2799.0	495.0	No	C1	
2053.0	592.0	No	C1	
3813.0	1102.0	No	C1	
4509.0	937.0	No	C1	
1356.0	608.0	No	C1	
8162.0	1567.0	No	C2	
2720.0	662.0	No	C1	
4535.0	909.0	No	C1	
2206.0	550.0	No	C1	
2483.0	455.0	No	C1	
6375.0	1413.0	No	C2	
8311.0	1682.0	No	C2	
3420.0	829.0	No	C1	
1321.0	452.0	No	C1	
2590.0	509.0	No	C1	
984.0	340.0	No	C1	
3175.0	836.0	No	C1	
10358.0	1112.0	No	C2	
1920.0	543.0	No	C1	
2874.0	661.0	No	C1	
2.0	225.0	No	C1	
8397.0	1798.0	No	C2	
6224.0	787.0	No	C2	
9007.0	1719.0	No	C2	
1183.0	441.0	No	C1	
4576.0	1363.0	No	C1	
2614.0	668.0	No	C1	
1020.0	457.0	No	C1	
3405.0	718.0	No	C1	
4319.0	613.0	No	C1	
3950.0	1338.0	No	C1	
8330.0	1567.0	No	C2	
4429.0	937.0	No	C1	
